ssn,name,union_no,addr,phone,salary,job_title,exam_date,expertise,certifications
447-89-3741,Henry Shelton,UAW0052,659 Del Lago Dr,229-050-4558,94000,Pilot,,,Boeing-767:2019-11-22 Airbus-A330:2019-02-10 Boeing-737:2017-12-14 Airbus-A320:2018-04-17 Boeing-747:2017-09-26 Airbus-A350:2019-08-14 Boeing-787:2019-10-09
274-69-4827,Melissa Mcclain,UAW0053,562 Santa Rita Cir,052-930-6193,101000,Technician,,Boeing-767 Airbus-A350 Boeing-737 Airbus-A320,
649-19-7515,Janet Porter,UAW0054,490 Gillespie St,498-769-3625,73000,Traffic Controller,2006-04-05,,
688-69-6417,Mildred Le,UAW0055,320 Diana Rd,845-641-8473,119000,Technician,,Boeing-787 Boeing-777 Airbus-A380,
111-59-2661,Brenda Mercer,UAW0056,730 W Pear Ave,698-134-1941,47000,Traffic Controller,2012-05-03,,
982-55-0707,Judy Ibarra,UAW0057,457 La Cumbre Plaza Lane,092-917-7769,142000,Technician,,Airbus-A380 Boeing-747 Boeing-767 Boeing-777,
280-59-3115,Brenda Mccormick,UAW0058,377 High Meadow Rd,851-638-9217,91000,Traffic Controller,2016-01-28,,
057-82-6383,Christopher Lamb,UAW0059,464 Oak View Dr,929-616-6821,62000,Technician,,Airbus-A330 Boeing-777 Boeing-737 Boeing-747,
342-57-4157,Rachel Russo,UAW0060,164 Casey Ave,842-751-0261,107000,Traffic Controller,2015-06-06,,
833-27-8204,Kelly Hurley,UAW0061,759 Violet Ln,767-869-8266,57000,Pilot,,,Airbus-A350:2020-11-15 Airbus-A330:2020-03-02 Boeing-737:2017-10-19 Boeing-787:2018-05-08
110-70-1350,Ruth Mendoza,UAW0062,978 Cachuma Village,939-649-2859,115000,Technician,,Airbus-A320,
172-81-2624,Ruth Hart,UAW0063,300 Sunrise Hill Ln,332-855-8692,75000,Technician,,Airbus-A300,
786-56-4794,Andrea Perry,UAW0064,571 San Como Way,038-350-3740,139000,Pilot,,,Airbus-A380:2019-03-22 Boeing-737:2020-03-20 Boeing-747:2019-07-05 Boeing-767:2018-07-17 Boeing-787:2017-09-13
300-91-3082,Donald Stuart,UAW0065,860 Andante Rd,017-510-5897,104000,Technician,,Airbus-A320,
670-96-7927,Jeffrey Crawford,UAW0066,663 Marilyn Way,838-146-9102,45000,Technician,,Airbus-A330 Boeing-747,
433-69-0761,Joan Hines,UAW0067,146 Deer Trail Pl,938-620-1522,58000,Technician,,Airbus-A380 Airbus-A350 Boeing-777,
218-11-9833,Helen Leblanc,UAW0068,944 Rockwood Dr,853-419-7221,75000,Traffic Controller,2015-08-18,,
521-53-4045,Kelly Galloway,UAW0069,501 Pala Ln,010-512-6863,77000,Technician,,Airbus-A300 Boeing-777,
241-38-8590,Linda Archer,UAW0070,520 Aberdeen Ave,730-277-8292,147000,Pilot,,,Airbus-A380:2017-09-10 Boeing-767:2020-09-13 Boeing-787:2017-05-16 Airbus-A350:2017-03-12 Boeing-777:2018-06-14 Boeing-737:2018-08-17 Airbus-A300:2017-09-01
322-12-8270,Madison Roberson,UAW0071,989 Sterling Way,388-086-8199,59000,Traffic Controller,2000-11-22,,
533-43-9376,Jerry Petty,UAW0072,586 Via Hierba,451-882-8103,54000,Pilot,,,Airbus-A320:2017-09-24 Boeing-737:2019-04-24 Airbus-A300:2018-12-02 Boeing-787:2019-01-28 Boeing-777:2020-12-11
486-64-7799,Hannah Knapp,UAW0073,139 Rosario Park Rd - Los Padres National Forest,330-935-8143,51000,Technician,,Airbus-A380,
375-71-0422,Kathy Gregory,UAW0074,248 La Espada Dr,273-550-5304,87000,Technician,,Airbus-A380 Boeing-737 Airbus-A350 Boeing-787,
811-47-5130,Benjamin Cox,UAW0075,244 Via Stevarino,378-566-7708,116000,Traffic Controller,2000-02-11,,
670-30-0138,Rose Miranda,UAW0076,486 Thornwood Dr,043-981-5371,67000,Technician,,Boeing-747 Airbus-A320 Airbus-A380,
065-06-3461,Nicholas Newton,UAW0077,976 Almeria Ave,221-633-2166,58000,Traffic Controller,2000-05-07,,
188-25-6161,Jason Mathews,UAW0078,310 Mountain View Blvd,964-325-2373,120000,Technician,,Boeing-777 Airbus-A350 Airbus-A330,
227-75-8212,Dorothy Matthews,UAW0079,464 Casitais Ln,446-469-8998,142000,Pilot,,,Airbus-A300:2017-04-26 Airbus-A320:2019-02-15 Airbus-A380:2020-01-18 Boeing-777:2020-06-27 Boeing-787:2017-12-01
566-08-8910,Christina Mcmillan,UAW0080,333 Noma St,930-026-5900,112000,Technician,,Airbus-A300 Airbus-A320,
124-99-9821,Aaron Moses,UAW0081,533 La Tierra St,934-438-5321,59000,Traffic Controller,2001-12-26,,
705-36-9158,Kathleen Rich,UAW0082,480 Albert St,180-187-5675,85000,Pilot,,,Boeing-777:2017-09-03 Airbus-A300:2018-04-13 Boeing-737:2017-05-10 Boeing-787:2017-11-10 Boeing-767:2017-12-28 Airbus-A330:2019-04-17 Airbus-A380:2019-02-09 Airbus-A350:2020-02-01
402-97-0274,Kathryn Velazquez,UAW0083,806 San Marcos Ct,501-314-0496,65000,Traffic Controller,2001-02-05,,
373-19-4095,Henry Gates,UAW0084,530 Camphor Ct,968-279-8770,129000,Technician,,Airbus-A380 Boeing-737 Airbus-A330 Airbus-A300,
178-20-5657,Nathan Morrow,UAW0085,362 Garrett St,319-024-3559,70000,Traffic Controller,2012-07-08,,
469-62-5718,Mark Bishop,UAW0086,846 Skylark Rd,373-458-2968,59000,Pilot,,,Boeing-777:2017-05-21
843-72-9403,Billy Donovan,UAW0087,990 El Arco Dr,062-330-8306,82000,Technician,,Airbus-A330 Airbus-A320 Airbus-A300,
167-82-1496,Mark Moreno,UAW0088,932 Pueblo Vista Rd,652-709-9294,110000,Traffic Controller,2004-05-28,,
927-82-0106,Rebecca Ortiz,UAW0089,329 E Ocean Ave,962-714-3264,101000,Technician,,Boeing-777,
579-21-9315,Julia Duncan,UAW0090,884 De La Guerra Pl,185-586-2312,71000,Traffic Controller,2001-12-25,,
013-87-3212,Brenda Medina,UAW0091,297 Cinco Amigos,153-504-0039,133000,Technician,,Boeing-767 Boeing-777 Airbus-A300,
089-23-4693,Mary Williams,UAW0092,648 Schoolhouse Canyon Rd,014-466-0066,72000,Traffic Controller,2011-09-07,,
640-25-1292,Donna Gates,UAW0093,117 E Hickory Ave,822-693-9793,102000,Pilot,,,Boeing-787:2018-08-22 Airbus-A320:2019-04-28 Airbus-A380:2019-08-21 Airbus-A300:2017-02-09 Boeing-767:2019-12-14 Airbus-A330:2018-10-05 Boeing-777:2019-04-05
285-77-7841,Virginia Beard,UAW0094,218 Rock Rose Ln,124-947-5316,120000,Pilot,,,Airbus-A320:2020-09-01 Airbus-A380:2017-04-05 Airbus-A300:2019-09-15 Boeing-737:2017-08-18 Airbus-A350:2017-12-01 Airbus-A330:2017-06-21 Boeing-767:2019-04-04
505-99-9700,Mark Skinner,UAW0095,353 El Mirlo,249-929-6095,115000,Technician,,Boeing-737 Boeing-747,
435-13-3638,Janet Blackburn,UAW0096,628 San Antonio Creek Rd,150-957-6010,68000,Traffic Controller,2013-07-19,,
493-52-5041,Steven Ward,UAW0097,259 E Alvin Ave,547-393-2500,131000,Technician,,Airbus-A320 Boeing-737 Airbus-A330,
322-26-8174,Philip House,UAW0098,872 Marymount Way,658-401-1877,132000,Traffic Controller,2003-03-14,,
289-41-1200,Eugene Tran,UAW0099,638 County Road 20,365-434-1291,57000,Traffic Controller,2001-09-15,,
373-39-6461,Noah Warren,UAW0100,785 Via Riviera,841-423-5170,72000,Pilot,,,Airbus-A320:2017-06-27 Boeing-747:2018-10-15 Airbus-A350:2018-12-21 Boeing-767:2018-01-18 Boeing-787:2019-09-03 Boeing-777:2020-02-21 Airbus-A330:2017-04-23 Airbus-A300:2020-03-25
268-38-2205,Beverly Miranda,UAW0101,108 Tiana Pl,559-811-7117,109000,Technician,,Boeing-787 Boeing-737 Boeing-777 Airbus-A380,
392-44-5128,Walter Lynch,UAW0102,417 Harbor Hills Dr,893-419-3614,98000,Traffic Controller,2012-07-24,,
829-23-6066,Raymond Schwartz,UAW0103,729 El Cerrito Ct,775-741-2413,88000,Technician,,Airbus-A330,
375-58-6503,Beverly Cruz,UAW0104,373 San Patricio Dr,803-133-5774,127000,Traffic Controller,2001-04-21,,
571-60-1600,Rebecca Melton,UAW0105,887 Sharry Ln,140-509-2002,113000,Traffic Controller,2003-12-24,,
559-28-8448,Nicholas Cruz,UAW0106,667 Veronica Pl,854-878-9398,54000,Pilot,,,Airbus-A320:2020-09-14 Airbus-A380:2017-06-11 Boeing-787:2019-12-12 Boeing-747:2018-03-03 Airbus-A350:2017-12-03 Airbus-A330:2017-12-16 Boeing-767:2017-04-15 Airbus-A300:2018-08-21
642-95-1284,Jean Pham,UAW0107,826 Nathan Rd,722-141-0478,92000,Pilot,,,Airbus-A320:2018-01-23 Boeing-747:2020-08-12 Airbus-A300:2019-03-18 Boeing-767:2020-05-19 Airbus-A350:2017-06-23 Boeing-737:2017-09-12 Airbus-A330:2018-10-17
022-10-1846,Gary Stevens,UAW0108,283 El Rodeo Rd,504-323-7471,88000,Technician,,Boeing-787 Boeing-767 Boeing-777 Airbus-A380 Airbus-A300,
817-44-4592,Martha Fry,UAW0109,827 O St,592-377-4781,76000,Pilot,,,Boeing-787:2017-07-14 Airbus-A380:2018-01-15 Airbus-A300:2020-03-08 Boeing-777:2020-05-27 Boeing-767:2020-03-01 Boeing-737:2019-09-24 Airbus-A350:2020-07-12 Boeing-747:2017-10-25
361-00-5954,Ashley Gilmore,UAW0110,298 N K St,099-478-0951,53000,Technician,,Airbus-A320 Airbus-A330 Boeing-767 Boeing-787,
263-26-0710,Jane Hubbard,UAW0111,487 W Valerio St,214-092-4305,74000,Traffic Controller,2009-12-16,,
999-44-2465,Bobby Stewart,UAW0112,765 Santa Rosa Pl,515-763-3491,47000,Technician,,Airbus-A330 Airbus-A350 Airbus-A320,
031-72-9311,Danielle Doyle,UAW0113,150 Professional Pkwy,762-606-5801,98000,Traffic Controller,2003-12-02,,
847-71-5479,Amanda Beard,UAW0114,132 Tognazzini Ave,162-670-0426,82000,Traffic Controller,2013-09-23,,
026-35-1320,Brittany Mathews,UAW0115,584 Bradbury Ave,456-947-4089,132000,Traffic Controller,2001-08-23,,
089-43-7081,Justin Serrano,UAW0116,291 Oak Glen Dr,819-765-8922,134000,Traffic Controller,2012-06-19,,
339-87-5585,Laura Travis,UAW0117,870 Cachuma Creek,465-572-6225,57000,Pilot,,,Boeing-787:2017-11-13
268-97-2109,William Browning,UAW0118,511 Ladera Ln,963-594-6377,58000,Traffic Controller,2000-01-15,,
775-51-1864,Gabriel Wolfe,UAW0119,797 China Flat Rd,209-816-7191,84000,Pilot,,,Airbus-A350:2018-06-01 Boeing-787:2020-06-11
896-10-9777,Ronald Cain,UAW0120,582 Orange Ave,660-451-1833,90000,Technician,,Airbus-A320 Airbus-A300,
247-84-4454,Martha Lambert,UAW0121,435 Ogram Rd - Los Padres National Forest,303-449-0149,53000,Pilot,,,Airbus-A330:2019-12-12 Airbus-A300:2018-11-01 Boeing-737:2018-11-18 Boeing-787:2020-06-21 Boeing-747:2017-12-13 Boeing-767:2017-04-21 Airbus-A320:2019-03-11 Boeing-777:2019-10-21
000-45-0482,Joseph Cook,UAW0122,195 Parker Pass Rd,777-738-0298,140000,Pilot,,,Airbus-A380:2019-06-06 Boeing-787:2020-02-02 Boeing-767:2017-04-12 Airbus-A330:2017-12-02
118-49-5368,Vincent Santana,UAW0123,309 Cameta Way,502-966-0827,89000,Pilot,,,Boeing-737:2018-11-27 Airbus-A300:2017-05-10 Airbus-A380:2020-11-22 Boeing-747:2019-12-20 Boeing-777:2019-04-27 Airbus-A330:2017-03-03
517-73-5901,Anthony Morgan,UAW0124,720 St Charles Pl,661-772-3665,97000,Traffic Controller,2013-12-09,,
537-83-3112,Virginia Monroe,UAW0125,603 W Fesler St,689-817-8431,124000,Technician,,Airbus-A300 Boeing-747 Airbus-A320 Boeing-787 Airbus-A350,
338-07-8295,Tyler Davis,UAW0126,442 Tierra Brisas Dr,021-033-5752,98000,Traffic Controller,2000-12-24,,
616-94-7372,Albert Carlson,UAW0127,370 Lake Marie Dr,198-873-6879,136000,Pilot,,,Boeing-777:2017-10-10 Airbus-A320:2019-02-18 Airbus-A350:2020-03-04 Airbus-A380:2017-05-05 Boeing-747:2020-12-01 Boeing-767:2018-04-28 Airbus-A300:2019-12-10
981-41-3992,Christian Stokes,UAW0128,985 S Tulip St,889-038-4086,148000,Technician,,Airbus-A380 Airbus-A320 Airbus-A330,
184-09-1926,Pamela Burke,UAW0129,267 Europa Ave,034-165-9464,67000,Traffic Controller,2007-02-09,,
032-31-9309,Wayne Stephens,UAW0130,518 Freya Dr,300-986-7288,121000,Traffic Controller,2013-04-18,,
026-91-8828,Angela Zhang,UAW0131,401 Avena St,427-876-9374,140000,Traffic Controller,2012-07-20,,
613-44-6302,Ruth Campos,UAW0132,140 Whitney Ln,864-102-7593,125000,Traffic Controller,2004-07-18,,
476-68-9353,Johnny Oneal,UAW0133,375 Rubel Way,233-895-2985,106000,Pilot,,,Airbus-A380:2017-10-25
144-64-4496,Lori Santana,UAW0134,230 Via Reposa,488-350-4735,74000,Traffic Controller,2006-04-14,,
790-67-6725,Barbara Cunningham,UAW0135,706 Ronald Pl,301-140-1116,117000,Traffic Controller,2003-11-07,,
744-70-0676,Ashley Higgins,UAW0136,357 Romaine Dr,364-225-5723,110000,Pilot,,,Boeing-777:2020-05-17 Boeing-747:2020-06-28 Boeing-737:2019-07-15 Boeing-767:2020-12-15 Airbus-A350:2020-07-03 Airbus-A300:2019-08-21 Boeing-787:2019-06-06
702-00-9648,Julia Schroeder,UAW0137,807 Lexington Ave,542-368-5004,146000,Pilot,,,Boeing-777:2017-11-13
857-94-0931,Mary Holmes,UAW0138,821 Fletcher Ave,796-015-1807,68000,Pilot,,,Boeing-747:2020-08-22 Airbus-A320:2017-02-28 Boeing-767:2019-08-11 Airbus-A330:2020-06-28 Boeing-787:2019-12-15 Airbus-A380:2017-03-24
178-82-6401,Theresa Nelson,UAW0139,881 Santa Rosa Ln,073-287-4707,136000,Pilot,,,Airbus-A380:2017-05-12 Boeing-767:2017-06-11 Boeing-747:2020-01-13 Boeing-777:2020-10-02 Airbus-A320:2020-05-02 Airbus-A300:2018-09-02 Airbus-A330:2020-07-20 Boeing-737:2018-10-14 Boeing-787:2019-06-19
426-78-2218,Kelly Valencia,UAW0140,386 Tognazzini Ave,658-142-1831,53000,Technician,,Boeing-737 Airbus-A300 Boeing-767,
176-12-5487,Anna Cuevas,UAW0141,690 Philbric Rd,057-895-6637,148000,Technician,,Boeing-787 Airbus-A350,
724-69-3384,Madison Ewing,UAW0142,883 Mayfield St,611-197-5357,99000,Technician,,Boeing-767 Boeing-787 Airbus-A330 Boeing-737,
597-33-1425,Joyce Wolfe,UAW0143,764 Davenport Rd,070-121-3790,64000,Pilot,,,Boeing-737:2017-11-14 Boeing-747:2017-02-15 Boeing-767:2019-11-02 Airbus-A380:2018-05-17 Airbus-A330:2019-02-12 Airbus-A320:2018-07-16 Airbus-A300:2019-03-22
728-88-6823,Lori Willis,UAW0144,750 Nogal,855-461-8808,128000,Technician,,Boeing-787 Airbus-A380 Airbus-A330,
942-04-2240,Lauren Odom,UAW0145,811 W Loquat Ct,525-765-6492,108000,Technician,,Boeing-747,
220-13-9746,Jennifer Montoya,UAW0146,620 Victory Rd,692-937-6495,137000,Pilot,,,Airbus-A330:2020-05-21 Airbus-A320:2020-06-09 Airbus-A300:2020-05-09 Boeing-767:2017-12-23 Boeing-747:2020-04-27 Airbus-A350:2017-10-10
061-53-2624,Gerald Brady,UAW0147,567 Zackery Ct,941-330-7797,54000,Pilot,,,Airbus-A320:2019-05-28 Airbus-A350:2019-06-13 Airbus-A330:2017-02-21 Boeing-777:2019-09-19 Boeing-737:2017-12-16 Airbus-A380:2017-05-19
370-55-2938,Judy Cline,UAW0148,632 Via Linda,763-727-6206,72000,Traffic Controller,2014-06-08,,
021-53-0396,Willie Ortiz,UAW0149,702 Arlington Ave,080-352-5667,78000,Technician,,Boeing-767 Airbus-A300 Airbus-A330,
192-23-7404,Judy Tyler,UAW0150,789 Via Senda,646-162-2518,47000,Technician,,Airbus-A380 Airbus-A350 Boeing-787,
997-89-4206,Nicole Luna,UAW0151,922 Forest Route 5n18 - Los Padres National Forest,213-519-9618,120000,Traffic Controller,2015-10-01,,
937-23-5604,Linda Knight,UAW0152,470 La Pita Pl,937-090-4594,80000,Traffic Controller,2016-05-10,,
965-32-3318,Lauren Lowe,UAW0153,749 Las Flores Way,206-940-6394,68000,Traffic Controller,2003-03-05,,
247-96-6569,Doris Powell,UAW0154,421 Vela Way,107-730-7288,60000,Traffic Controller,2002-01-16,,
793-25-1234,Randy Koch,UAW0155,543 Pilgrim Terrace Dr,730-954-0116,141000,Pilot,,,Boeing-747:2017-05-05 Boeing-777:2020-11-14 Airbus-A320:2019-12-09 Airbus-A350:2019-10-13 Airbus-A380:2020-02-02 Boeing-737:2019-06-13
237-20-5273,Keith Gonzalez,UAW0156,687 Garden Ln,389-189-7877,125000,Technician,,Airbus-A350 Boeing-777,
148-21-9702,Juan Pratt,UAW0157,227 Aurora Dr,766-365-6499,117000,Pilot,,,Airbus-A380:2020-10-08 Airbus-A330:2017-03-13 Boeing-767:2017-11-25 Boeing-777:2017-05-06 Airbus-A350:2019-11-22
207-99-9232,Kathryn Huber,UAW0158,352 Avola Ave,395-225-0405,126000,Technician,,Airbus-A350 Airbus-A320 Boeing-787,
145-13-1877,Theresa Booth,UAW0159,187 Vista Linda Ln,525-340-4771,59000,Pilot,,,Boeing-777:2019-01-20 Airbus-A380:2019-04-17 Boeing-787:2018-05-19 Airbus-A300:2018-12-05
513-33-5040,Tyler Cooke,UAW0160,159 Connor Ln,437-941-0228,99000,Pilot,,,Airbus-A300:2017-09-10 Boeing-777:2019-08-13 Boeing-747:2018-09-17
420-95-5680,John Wall,UAW0161,419 E Mariposa Way,941-282-8344,81000,Pilot,,,Boeing-737:2017-08-15 Boeing-777:2020-12-02 Boeing-787:2018-04-19 Airbus-A320:2018-10-10 Airbus-A330:2017-10-22
009-80-5260,Bobby Parks,UAW0162,644 Via Vista Verde,737-628-0084,79000,Traffic Controller,2010-08-07,,
341-64-5839,Mark Krueger,UAW0163,817 Wood Mill Ln,371-578-5094,150000,Traffic Controller,2000-10-13,,
899-85-2951,Rose Proctor,UAW0164,152 Santa Ynez St,779-984-4186,102000,Technician,,Airbus-A330,
786-87-9934,Brandon Moody,UAW0165,369 Sonora Dr,551-333-0909,102000,Pilot,,,Airbus-A380:2020-07-23 Airbus-A300:2017-11-17 Boeing-767:2018-01-26 Airbus-A350:2018-05-10 Boeing-787:2018-06-17 Airbus-A330:2020-02-03 Airbus-A320:2017-09-05
816-28-2491,Debra Marquez,UAW0166,567 Refugio Beach Rd,625-444-7301,131000,Traffic Controller,2012-09-10,,
054-33-5037,Shirley Day,UAW0167,856 Debbie Rd,810-739-1471,129000,Technician,,Airbus-A300 Boeing-747 Boeing-787,
135-45-9451,George Santana,UAW0168,851 San Bergamo Dr,160-442-2384,145000,Pilot,,,Boeing-747:2018-12-09 Airbus-A330:2017-10-08
944-08-0956,Gloria Spencer,UAW0169,786 Summit Ln,516-630-1334,97000,Pilot,,,Boeing-787:2017-06-24 Boeing-777:2020-09-26 Boeing-747:2020-01-05 Airbus-A300:2019-07-21
416-03-3483,Nathan Washington,UAW0170,397 Mountain View Blvd,193-016-2038,112000,Technician,,Airbus-A350,
258-11-3821,Carolyn Lewis,UAW0171,663 Skyline Cir,702-692-0604,94000,Technician,,Airbus-A350 Boeing-737,
