flight_no,src,dest,arrival,depart,pilot
RX58194,BGR,TOG,2008-09-21 03:51:22,2008-09-20 23:36:17,244-57-5376
VP14995,PAO,FSU,2008-04-22 06:03:49,2008-04-22 04:47:15,600-20-1530
ZK56203,HPY,BDR,2013-03-12 06:39:07,2013-03-12 05:16:22,412-42-7397
ZR61055,BCT,LEB,2013-01-08 00:18:45,2013-01-07 18:08:51,499-82-9898
NH7833,KCQ,NPA,2008-02-28 00:34:50,2008-02-27 23:22:55,835-98-3446
YN17032,KCL,BFR,2013-03-06 01:53:14,2013-03-05 19:31:15,971-66-6286
JT76901,BQK,DEC,2012-05-18 09:18:37,2012-05-18 03:06:09,899-69-3360
TN55969,LAL,PPC,2016-10-16 16:10:54,2016-10-16 10:58:53,682-84-3560
FT25593,PRO,LTH,2010-10-22 05:42:50,2010-10-22 04:04:58,835-98-3446
SM16848,JAC,WTK,2010-09-28 08:15:24,2010-09-28 06:29:25,145-13-1877
UF61391,STL,CBF,2012-10-25 15:21:19,2012-10-25 10:05:48,139-87-9484
FX71951,BJI,CAK,2013-02-22 11:32:48,2013-02-22 05:37:06,968-75-5960
MB52926,HWD,ADQ,2015-06-16 21:10:26,2015-06-16 14:51:26,293-78-1980
UE95690,CMX,DLG,2011-08-08 22:45:50,2011-08-08 21:41:21,709-73-8605
QH68621,DIO,OLD,2012-07-21 21:33:43,2012-07-21 15:11:46,652-68-4697
JK54103,CFV,CLI,2009-08-12 19:38:35,2009-08-12 15:32:30,374-96-3918
AN85395,SRQ,CEM,2009-09-04 09:37:50,2009-09-04 02:38:32,600-20-1530
LJ9369,VLD,PLK,2015-09-11 15:36:30,2015-09-11 11:11:23,375-03-5185
MU29313,KTN,FTL,2014-02-21 09:30:37,2014-02-21 05:39:11,391-31-9018
AN61044,BOS,ALN,2009-04-27 03:12:46,2009-04-26 22:59:29,491-58-8939
DJ55517,HEE,ELK,2010-08-25 06:46:54,2010-08-25 02:59:26,145-74-2677
BR43757,KSM,CSE,2012-03-23 03:30:14,2012-03-23 00:24:02,874-33-2718
FF33959,FCS,HSI,2010-02-28 02:55:09,2010-02-27 23:40:11,366-20-0523
PB17693,ADT,OSX,2009-01-13 05:36:05,2009-01-12 22:36:08,089-35-6342
LN23720,MBL,TIK,2010-01-22 09:57:31,2010-01-22 07:59:53,703-14-1793
CB98971,OEA,NIP,2015-08-11 05:48:30,2015-08-11 02:01:04,208-71-2004
QD49292,NZW,KNB,2008-09-21 07:44:33,2008-09-21 02:05:46,056-86-0607
HJ48842,EOK,RAP,2011-12-08 13:02:35,2011-12-08 10:16:06,928-16-8729
KL2669,DBS,NPA,2010-02-22 08:59:15,2010-02-22 04:52:59,230-67-1711
CJ79839,ELW,WWP,2013-09-16 03:06:53,2013-09-16 00:57:33,241-38-8590
KM94388,NES,RCT,2012-07-03 19:39:49,2012-07-03 14:59:31,179-25-8356
XD97733,SZP,AIY,2011-11-07 12:02:14,2011-11-07 06:52:47,554-65-4897
SU85094,POB,KEK,2008-03-14 02:01:47,2008-03-13 23:48:05,968-75-5960
WV76497,VTN,OTS,2010-02-10 09:45:02,2010-02-10 04:08:03,322-87-0151
EJ17713,WDB,SCE,2013-01-20 16:24:48,2013-01-20 10:05:43,968-75-5960
UA98917,KCQ,DMN,2008-07-31 05:32:07,2008-07-30 23:00:25,825-14-3933
TJ93217,BOS,MGY,2014-04-03 04:22:20,2014-04-03 02:00:50,481-64-7023
HR89605,FRH,OCI,2009-06-25 19:07:41,2009-06-25 13:47:18,865-16-8158
IU2313,PHD,CLU,2013-12-06 03:10:07,2013-12-06 00:15:56,800-39-2298
WS64549,HSH,PVD,2012-11-22 08:53:12,2012-11-22 04:59:44,663-85-2041
PI27885,GLD,CGZ,2009-01-05 06:53:41,2009-01-05 02:08:32,135-45-9451
UQ49968,ONY,LYU,2008-04-29 11:47:46,2008-04-29 05:48:58,794-02-2853
DV22355,SWW,BIE,2010-03-02 02:31:31,2010-03-02 00:02:05,370-87-4189
IF39369,HAI,OMK,2011-06-04 01:10:46,2011-06-03 19:48:07,647-54-5755
XC3168,GOK,VAK,2015-04-30 05:55:49,2015-04-30 02:19:12,588-93-7376
RL88907,SAA,XSM,2012-02-27 00:38:06,2012-02-26 22:43:16,943-47-3392
XF57556,LKK,SLJ,2012-01-25 02:14:26,2012-01-24 20:37:27,583-32-3128
JN54617,PYL,KZB,2015-06-20 09:53:44,2015-06-20 03:58:08,554-65-4897
IZ62652,TLJ,SAG,2016-02-07 07:24:19,2016-02-07 01:30:25,136-44-7802
LX90125,SAS,MGW,2008-07-02 13:28:09,2008-07-02 07:45:19,140-93-6632
KF11711,GBD,ACK,2011-08-15 11:00:19,2011-08-15 07:38:21,092-17-5644
CG60693,CEV,BKT,2012-12-12 09:27:25,2012-12-12 08:05:55,871-90-8968
YF86382,NSF,FBS,2010-05-11 03:03:39,2010-05-11 01:14:31,244-06-3853
PX10472,LHB,ASX,2012-09-12 15:19:44,2012-09-12 12:55:05,029-36-8655
WX66718,BWM,MIF,2011-02-10 16:51:32,2011-02-10 15:29:04,864-10-3339
RB70011,CRP,JDT,2008-03-01 10:12:05,2008-03-01 04:43:45,794-02-2853
YJ19094,DSV,DNL,2010-08-03 22:27:57,2010-08-03 19:23:04,187-48-4106
TO79734,HPY,RME,2016-10-13 11:25:40,2016-10-13 08:09:07,951-38-0306
EI11433,BTP,PDT,2016-03-16 16:09:47,2016-03-16 13:19:41,325-83-7578
WF52906,GAB,CAK,2009-02-16 16:24:31,2009-02-16 09:43:30,719-05-9171
VT83978,DAL,MUE,2014-07-10 03:45:55,2014-07-09 23:27:15,388-26-3489
YC51341,JAN,ALI,2011-06-21 09:07:18,2011-06-21 07:37:50,339-44-3962
LP39814,EGX,WWD,2015-05-28 15:55:59,2015-05-28 12:15:28,801-36-8342
ZC73677,BWD,BTN,2015-12-04 21:05:54,2015-12-04 19:45:18,503-38-9469
NB73120,SVS,BBW,2008-08-24 11:20:10,2008-08-24 06:33:46,834-05-7627
YI19316,HAE,AMK,2015-09-06 11:34:32,2015-09-06 06:20:50,800-39-2298
GS3028,TKL,CDV,2014-09-27 06:09:02,2014-09-27 04:41:37,897-49-1333
DB8483,BSZ,MRN,2011-11-10 14:40:04,2011-11-10 12:28:29,190-56-5509
MW41022,EWK,NBU,2011-12-21 06:41:16,2011-12-21 02:09:10,315-89-8693
IP32329,ALN,CCR,2009-01-30 23:57:49,2009-01-30 20:04:34,588-93-7376
UH82834,MCN,EDE,2013-09-20 02:13:56,2013-09-20 00:57:40,919-85-3331
NF67098,BAM,TRP,2008-05-27 11:01:54,2008-05-27 09:36:13,261-97-6964
CF79571,ANI,QMV,2010-04-28 04:56:41,2010-04-28 01:37:20,899-69-3360
MJ32986,CSM,CKE,2009-06-06 17:54:27,2009-06-06 13:11:50,987-95-1538
RJ37337,GAD,PGV,2012-06-06 21:39:26,2012-06-06 15:52:54,053-84-6958
IY67049,PMB,KWN,2012-10-26 04:35:56,2012-10-26 02:25:57,432-04-3278
EZ19007,UOX,PAM,2011-10-15 01:51:14,2011-10-14 20:30:29,640-25-1292
KF9893,LIH,FRR,2013-07-28 04:15:27,2013-07-28 00:21:50,824-16-6581
HB69949,EST,ELY,2015-05-29 23:52:08,2015-05-29 17:12:08,471-81-5254
EL42386,GUN,OWK,2013-03-13 22:03:30,2013-03-13 16:11:32,803-01-4403
DJ2331,TDW,BGQ,2016-03-21 22:49:19,2016-03-21 21:17:58,525-97-9080
NM31297,TWA,MPB,2008-10-13 12:23:16,2008-10-13 05:24:48,469-62-5718
FN65206,OWB,ALE,2009-11-02 13:41:52,2009-11-02 11:49:02,642-95-1284
MV32646,XPU,UOS,2016-08-30 07:23:07,2016-08-30 03:04:15,029-36-8655
JD48902,KUK,TNK,2010-08-26 17:41:03,2010-08-26 14:59:34,958-55-6714
PS49554,STC,MDR,2010-10-30 14:27:39,2010-10-30 09:03:10,325-08-4481
AR95581,RSJ,VLA,2012-08-04 16:42:45,2012-08-04 13:37:41,193-43-6507
YK9487,ABE,TCC,2016-11-29 08:39:58,2016-11-29 05:45:39,568-83-1187
OB47767,MLI,FLD,2015-08-05 19:17:14,2015-08-05 15:56:06,136-44-7802
IK88479,MLC,BDX,2015-10-19 17:13:24,2015-10-19 16:06:37,315-89-8693
UE24128,PYM,WJF,2009-12-15 10:49:52,2009-12-15 08:59:24,641-64-4826
LA47794,OLF,GEY,2015-12-26 13:21:24,2015-12-26 08:35:45,139-87-9484
BY85180,PSK,AOH,2010-04-05 09:36:51,2010-04-05 07:12:43,692-57-6401
MN17426,MFV,ENW,2016-03-08 18:09:04,2016-03-08 17:04:49,786-56-4794
NO23046,ZFZ,CWA,2010-01-23 11:28:26,2010-01-23 06:22:10,559-28-8448
XJ42833,NUP,WDN,2013-07-11 18:46:42,2013-07-11 11:49:52,554-76-0511
RK80211,LQK,MQT,2012-02-14 07:33:41,2012-02-14 01:40:52,056-86-0607
AA59458,BRD,MUU,2011-06-17 03:56:01,2011-06-17 02:28:15,533-14-9522
RI74452,MVC,NQA,2008-11-10 03:48:13,2008-11-09 23:36:35,971-66-6286
EF72744,ANB,GVW,2009-12-21 19:12:33,2009-12-21 13:00:54,803-01-4403
OO63342,HEY,HBG,2014-08-13 20:09:27,2014-08-13 13:28:18,491-58-8939
VF97907,GUP,RDD,2016-11-06 06:09:56,2016-11-06 00:03:08,317-92-2083
KA92025,ASE,VKS,2015-11-14 04:52:39,2015-11-14 02:45:49,412-42-7397
YJ98059,CYF,DRO,2013-10-08 20:52:07,2013-10-08 15:43:22,017-71-7409
GB60993,WHP,PVY,2014-12-14 22:32:15,2014-12-14 15:51:02,241-38-8590
EW60084,LFK,DCK,2014-11-14 18:09:44,2014-11-14 16:49:36,640-25-1292
HJ97822,LBF,COA,2014-06-23 00:35:46,2014-06-22 20:18:16,663-85-2041
MY94589,FXY,LKK,2015-09-22 15:11:17,2015-09-22 09:44:56,709-73-8605
UY77520,AFF,FTW,2014-10-02 15:00:45,2014-10-02 10:31:10,818-05-8488
EQ88803,BFL,OTG,2009-03-08 03:56:53,2009-03-07 21:23:55,948-10-3661
LZ9095,HTS,MBS,2014-09-26 06:10:10,2014-09-25 23:44:16,850-20-9832
CJ31884,SBY,ARC,2016-08-01 16:18:52,2016-08-01 15:08:01,401-58-5857
ND97149,PYL,KKB,2014-06-12 23:23:08,2014-06-12 17:12:03,631-46-7646
NZ74712,LWL,JBS,2015-05-18 06:30:17,2015-05-18 02:06:25,934-35-1650
FK89188,JCT,SGR,2012-04-03 15:20:12,2012-04-03 14:08:53,655-45-7422
TR98847,PMD,WBB,2014-08-30 23:21:59,2014-08-30 16:34:34,716-05-7534
OB74753,COS,AOS,2011-06-21 13:48:40,2011-06-21 11:56:48,421-13-5349
CL82551,CLS,CVG,2009-01-28 23:37:20,2009-01-28 18:57:11,558-14-9443
XA93796,SCJ,RNG,2012-12-02 20:22:46,2012-12-02 14:53:57,187-48-4106
RU91493,AFW,ILG,2015-04-17 07:07:30,2015-04-17 02:35:10,068-48-2515
BV67521,QNY,ICY,2013-02-28 10:34:51,2013-02-28 05:07:02,444-53-3337
OG36583,EVA,RSH,2009-02-16 15:53:05,2009-02-16 11:46:53,850-20-9832
WE6593,SGH,AUO,2013-02-12 23:14:57,2013-02-12 18:14:45,856-68-7305
IP78345,BTR,BKD,2008-07-24 04:44:17,2008-07-24 01:00:19,705-36-9158
UU13353,FLE,NDP,2014-11-16 18:10:34,2014-11-16 14:23:09,248-75-1432
GX4000,LWM,JSK,2016-08-30 18:49:32,2016-08-30 12:48:15,491-58-8939
BG31358,LYU,CAD,2016-01-20 15:59:41,2016-01-20 10:43:12,315-89-8693
CT77183,BMT,PRO,2016-11-23 18:12:53,2016-11-23 15:07:11,223-36-1674
VE49694,ONY,MWC,2016-05-15 11:58:10,2016-05-15 06:24:50,712-72-4997
NC63256,NRC,BZN,2013-09-15 06:12:31,2013-09-15 04:48:22,847-77-3091
EP34664,GLE,GDC,2016-02-22 22:39:37,2016-02-22 17:38:12,025-38-4942
JA89858,SVN,DPG,2008-02-10 14:26:22,2008-02-10 09:53:32,471-81-5254
EB19846,FRG,MBG,2012-12-22 11:13:17,2012-12-22 05:19:55,705-36-9158
NJ36536,EPG,SAS,2016-12-16 15:32:33,2016-12-16 14:13:18,278-06-4811
SE1798,SFO,PTC,2012-05-13 17:23:22,2012-05-13 12:33:50,661-82-5763
PU70055,HDN,CVS,2009-06-30 18:19:58,2009-06-30 16:29:01,012-15-8995
VV88195,MOS,CGX,2015-06-19 20:24:33,2015-06-19 18:16:05,285-77-7841
RE95655,SVH,SKF,2009-11-03 22:20:19,2009-11-03 16:14:31,209-03-4405
CB80186,DAL,TVF,2008-06-17 08:24:51,2008-06-17 02:13:19,178-82-6401
DN43150,SOW,CVN,2010-04-01 12:16:08,2010-04-01 10:39:30,135-45-9451
CH78025,JMD,SKF,2008-05-05 15:24:58,2008-05-05 13:40:39,244-06-3853
CA93325,OLH,PNU,2014-02-27 21:43:48,2014-02-27 20:09:01,570-03-8833
RK67793,AGO,PGV,2014-02-01 06:49:19,2014-02-01 02:04:23,441-57-0428
WZ56859,OTM,PNX,2013-12-03 08:11:50,2013-12-03 03:50:54,660-54-7701
RG89709,FRR,IAH,2014-06-01 22:35:38,2014-06-01 16:55:51,864-89-9533
OI13993,MOP,WSJ,2011-02-05 08:05:15,2011-02-05 02:06:18,659-07-1041
HX12642,GEG,KPY,2016-09-29 07:15:30,2016-09-29 00:26:18,864-10-3339
OP47532,LAM,WMO,2013-07-17 04:13:36,2013-07-17 00:56:59,674-52-6003
WM57126,MCI,MYF,2014-08-08 23:40:31,2014-08-08 17:39:45,413-78-2890
VO63790,KKT,PUW,2012-11-23 01:40:56,2012-11-22 20:42:07,118-62-8123
LZ68779,FSI,IAN,2008-10-09 15:52:04,2008-10-09 13:03:35,616-94-7372
AO99542,PRC,MXY,2016-02-04 07:05:46,2016-02-04 03:04:39,481-64-7023
DS2593,MPJ,TEK,2013-03-07 03:30:57,2013-03-07 01:18:57,811-19-1292
AQ79216,ARA,HZL,2014-01-25 06:35:08,2014-01-25 05:07:40,955-15-5710
KN38410,TWE,JCE,2008-12-13 13:19:51,2008-12-13 07:22:27,760-42-3923
HI40269,LOG,CZC,2016-05-26 06:50:10,2016-05-26 00:22:12,723-24-0510
VN51781,SSW,PTW,2014-06-07 06:33:44,2014-06-07 02:22:23,317-92-2083
ZD54804,KLW,KKA,2016-10-15 23:27:11,2016-10-15 19:24:42,412-42-7397
CU94235,CSM,CDB,2010-09-07 07:27:03,2010-09-07 03:16:07,056-80-0641
UQ9486,PCU,OLV,2008-10-12 15:37:15,2008-10-12 12:22:15,833-27-8204
UR52380,SLN,ONO,2009-05-11 13:15:45,2009-05-11 09:57:30,061-53-2624
LQ31112,IDP,DOF,2012-06-05 03:04:01,2012-06-05 01:38:27,601-56-7161
UO72422,ASL,BMG,2013-01-14 12:21:59,2013-01-14 10:38:00,479-01-9497
HF63458,BWM,SAT,2014-03-08 14:07:11,2014-03-08 07:14:52,559-28-8448
FI96664,HLR,DGW,2011-05-11 07:32:38,2011-05-11 06:11:26,176-39-8972
JH40168,OLE,IWS,2015-06-29 17:46:39,2015-06-29 16:38:12,839-90-8643
NB98241,HNE,HST,2014-08-11 14:12:21,2014-08-11 10:37:17,864-10-3339
CL55313,GRF,SLN,2009-04-12 13:56:47,2009-04-12 07:49:09,056-80-0641
TO17225,FCT,FOE,2016-10-25 23:57:29,2016-10-25 17:07:45,642-95-1284
BQ56557,TDO,PTC,2009-05-26 17:21:35,2009-05-26 13:03:06,540-42-7099
VU50092,LAF,WJF,2014-07-09 15:56:30,2014-07-09 13:55:41,984-17-7619
UQ13318,CDW,BVX,2016-10-26 03:15:27,2016-10-26 00:43:54,984-17-7619
JT6683,MSN,HLC,2009-06-08 20:11:41,2009-06-08 18:50:42,872-00-1843
VS56982,BSI,DGN,2010-12-23 05:08:56,2010-12-23 00:08:12,145-96-7331
WJ8592,GKN,TWF,2008-12-27 14:01:56,2008-12-27 10:15:24,148-21-9702
FS97385,OVE,ONT,2012-10-11 14:53:23,2012-10-11 11:13:24,179-25-8356
KF79296,PTV,MIQ,2009-03-15 13:33:28,2009-03-15 11:02:42,863-12-2025
YY18228,HNM,PGS,2009-09-23 09:46:33,2009-09-23 03:14:35,338-83-6303
XW38484,PJB,EWR,2015-07-05 22:26:11,2015-07-05 20:50:26,322-87-0151
CX68859,DNL,ALI,2008-02-09 03:24:54,2008-02-08 21:04:48,335-12-3800
GS83168,DAN,BNA,2012-12-12 00:15:48,2012-12-11 20:50:48,173-60-1644
UB93935,AHF,CON,2008-01-12 07:51:15,2008-01-12 03:07:08,864-89-9533
AM94999,FYM,JMH,2016-08-19 04:40:51,2016-08-19 03:04:40,000-45-0482
UN87389,ADK,LMA,2011-09-05 00:08:17,2011-09-04 20:44:30,566-57-5659
GD40903,IVH,CLP,2009-09-08 18:44:32,2009-09-08 17:30:00,144-58-1040
FI35203,PKD,FMS,2016-06-28 22:41:04,2016-06-28 18:14:26,760-42-3923
VO25153,SNL,AMK,2012-06-27 02:44:26,2012-06-26 23:04:25,819-72-4018
LM68531,SXC,LIJ,2014-03-21 04:31:43,2014-03-21 02:11:13,564-80-6789
HZ25414,WLR,MYF,2010-06-04 18:48:38,2010-06-04 14:42:49,132-28-4931
WQ12834,YAK,BCE,2008-09-28 22:14:24,2008-09-28 17:54:38,660-54-7701
WV11189,LAA,DBQ,2011-02-25 13:36:18,2011-02-25 10:40:29,534-68-4340
NE72088,UQE,CKN,2008-07-14 02:00:25,2008-07-13 20:44:00,444-53-3337
AI13572,CDN,KEU,2010-04-11 17:05:51,2010-04-11 13:44:29,380-27-2055
RR33972,FRI,UGI,2016-02-17 01:33:31,2016-02-16 22:19:53,156-19-0844
DG30879,ARC,ELK,2012-04-08 07:58:47,2012-04-08 02:46:34,420-95-5680
EB71384,FNR,MFR,2014-11-02 06:39:12,2014-11-02 01:25:14,850-20-9832
JY53336,MEJ,JOT,2011-01-29 02:35:41,2011-01-28 20:34:26,786-56-4794
DE70166,PTT,BKX,2014-08-22 08:58:37,2014-08-22 03:49:42,053-84-6958
XG20423,MVM,DKK,2014-03-14 08:38:06,2014-03-14 03:38:32,462-66-7935
UL48118,UNS,CMI,2008-06-09 08:39:55,2008-06-09 05:31:25,145-74-2677
YI72067,PWR,CLW,2015-06-14 09:01:47,2015-06-14 03:54:06,285-35-1487
II43612,JVI,SIY,2011-02-01 08:17:43,2011-02-01 04:03:43,957-35-2667
XZ82733,SAT,ORH,2011-01-06 04:09:14,2011-01-05 23:33:09,140-93-6632
IX86636,WAY,ONP,2014-02-17 22:44:49,2014-02-17 18:19:14,089-35-6342
ME61111,ENL,KKT,2009-05-08 15:43:33,2009-05-08 09:22:00,444-53-3337
AO16805,MUT,SNP,2014-05-17 02:21:23,2014-05-17 01:02:58,709-73-8605
WZ30595,VPS,OBT,2012-10-23 17:50:16,2012-10-23 11:30:12,056-86-0607
KD87023,CIN,FRH,2016-06-22 12:07:21,2016-06-22 08:11:17,105-71-4080
ZI51936,WDB,GAG,2015-11-17 01:24:15,2015-11-16 18:56:11,248-50-8554
RF31638,OGD,KKT,2011-04-03 07:58:16,2011-04-03 06:23:20,305-29-9154
CL99280,BFM,RAL,2014-03-28 17:55:40,2014-03-28 14:32:22,876-30-0174
UL95294,FAL,MFI,2016-11-02 07:55:58,2016-11-02 01:26:10,720-71-5697
GY87129,VEE,TTD,2010-09-09 21:33:25,2010-09-09 18:56:46,156-19-0844
DV4881,MUU,MIF,2013-06-06 16:27:58,2013-06-06 11:29:46,029-36-8655
CQ10921,PVD,CBM,2010-06-01 14:28:40,2010-06-01 11:47:40,870-09-4082
CS10272,CNM,DAB,2011-01-09 14:34:24,2011-01-09 13:27:08,166-45-2665
EN8979,LNP,MYH,2009-05-17 23:33:33,2009-05-17 19:03:38,719-05-9171
GU83676,COM,HEZ,2013-08-14 15:51:27,2013-08-14 09:02:19,490-52-0092
GJ95797,OTZ,APA,2011-10-25 03:19:54,2011-10-24 22:52:48,588-93-7376
PJ87572,CSV,RKS,2008-09-20 12:34:20,2008-09-20 06:50:57,351-73-1830
FD56161,BZS,ORT,2013-12-30 02:06:33,2013-12-29 21:58:32,640-25-1292
RQ43632,DIO,LGB,2014-10-25 18:40:15,2014-10-25 13:51:16,248-75-1432
NM56861,OLF,MOU,2008-04-29 22:33:11,2008-04-29 21:15:22,864-89-9533
PW45680,PHD,DEC,2011-03-02 09:41:00,2011-03-02 03:19:12,933-07-6556
